id,sport_id,time,time_status,league,home,away,ss,scores
"""10681691""","""92""","""1758123300""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""184748"",""name"":""Kacper Petas"",""image_id"":0,""cc"":null}","{""id"":""252266"",""name"":""Mateusz Golebiowski"",""image_id"":0,""cc"":""in""}","""2-3""","{""1"":{""home"":""11"",""away"":""7""},""2"":{""home"":""10"",""away"":""12""},""3"":{""home"":""8"",""away"":""11""},""4"":{""home"":""17"",""away"":""15""},""5"":{""home"":""9"",""away"":""11""}}"
"""10681636""","""92""","""1758123000""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1044428"",""name"":""Karol Strowski"",""image_id"":0,""cc"":null}","{""id"":""322692"",""name"":""Tomasz Filbrandt"",""image_id"":0,""cc"":null}","""3-2""","{""1"":{""home"":""11"",""away"":""7""},""2"":{""home"":""11"",""away"":""8""},""3"":{""home"":""6"",""away"":""11""},""4"":{""home"":""8"",""away"":""11""},""5"":{""home"":""11"",""away"":""9""}}"
"""10688278""","""92""","""1758121800""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""932581"",""name"":""Mariusz Baron"",""image_id"":0,""cc"":null}","{""id"":""1132522"",""name"":""Wojciech Pytlas"",""image_id"":0,""cc"":null}","""3-2""","{""1"":{""home"":""11"",""away"":""8""},""2"":{""home"":""12"",""away"":""10""},""3"":{""home"":""11"",""away"":""13""},""4"":{""home"":""9"",""away"":""11""},""5"":{""home"":""11"",""away"":""4""}}"
"""10681694""","""92""","""1758121800""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1597"",""name"":""Jakub Kosowski"",""image_id"":0,""cc"":""pl""}","{""id"":""314349"",""name"":""Patryk Lewandowski"",""image_id"":0,""cc"":""pl""}","""1-3""","{""1"":{""home"":""11"",""away"":""3""},""2"":{""home"":""9"",""away"":""11""},""3"":{""home"":""6"",""away"":""11""},""4"":{""home"":""7"",""away"":""11""}}"
"""10688279""","""92""","""1758121500""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""782760"",""name"":""Oskar Jadach"",""image_id"":0,""cc"":null}","{""id"":""929675"",""name"":""Boguslaw Madej"",""image_id"":0,""cc"":null}","""3-2""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""11"",""away"":""7""},""3"":{""home"":""11"",""away"":""8""},""4"":{""home"":""4"",""away"":""11""},""5"":{""home"":""11"",""away"":""7""}}"
"""10681646""","""92""","""1758121500""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""893791"",""name"":""Maciej Domin"",""image_id"":0,""cc"":null}","{""id"":""317470"",""name"":""Artur Daniel"",""image_id"":0,""cc"":null}","""0-3""","{""1"":{""home"":""4"",""away"":""11""},""2"":{""home"":""10"",""away"":""12""},""3"":{""home"":""7"",""away"":""11""}}"
"""10688280""","""92""","""1758121200""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""747674"",""name"":""Adam Linek"",""image_id"":0,""cc"":null}","{""id"":""1042549"",""name"":""Filip Kujawa"",""image_id"":0,""cc"":null}","""3-1""","{""1"":{""home"":""11"",""away"":""9""},""2"":{""home"":""6"",""away"":""11""},""3"":{""home"":""11"",""away"":""8""},""4"":{""home"":""11"",""away"":""8""}}"
"""10681674""","""92""","""1758120600""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""221887"",""name"":""Adrian Wiecek"",""image_id"":0,""cc"":""cz""}","{""id"":""184832"",""name"":""Piotr Chodorski"",""image_id"":0,""cc"":""pl""}","""0-3""","{""1"":{""home"":""9"",""away"":""11""},""2"":{""home"":""6"",""away"":""11""},""3"":{""home"":""9"",""away"":""11""}}"
"""10688281""","""92""","""1758120300""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""814050"",""name"":""Michal Oracz"",""image_id"":0,""cc"":null}","{""id"":""801857"",""name"":""Kacper Slawinski"",""image_id"":0,""cc"":null}","""0-3""","{""1"":{""home"":""5"",""away"":""11""},""2"":{""home"":""8"",""away"":""11""},""3"":{""home"":""7"",""away"":""11""}}"
"""10681672""","""92""","""1758120300""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1044428"",""name"":""Karol Strowski"",""image_id"":0,""cc"":null}","{""id"":""770866"",""name"":""Jakub Kwapis"",""image_id"":0,""cc"":null}","""3-2""","{""1"":{""home"":""11"",""away"":""5""},""2"":{""home"":""12"",""away"":""10""},""3"":{""home"":""11"",""away"":""13""},""4"":{""home"":""8"",""away"":""11""},""5"":{""home"":""11"",""away"":""3""}}"
"""10683771""","""92""","""1758120000""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""688986"",""name"":""Szymon Radlo"",""image_id"":0,""cc"":null}","{""id"":""728442"",""name"":""Jakub Zochniak"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""11"",""away"":""8""},""2"":{""home"":""8"",""away"":""11""},""3"":{""home"":""11"",""away"":""13""},""4"":{""home"":""8"",""away"":""11""}}"
"""10688282""","""92""","""1758119700""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""942584"",""name"":""Jacek Przewlocki"",""image_id"":0,""cc"":null}","{""id"":""314240"",""name"":""Michal Skorski"",""image_id"":0,""cc"":null}","""2-3""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""9"",""away"":""11""},""3"":{""home"":""11"",""away"":""4""},""4"":{""home"":""11"",""away"":""8""},""5"":{""home"":""9"",""away"":""11""}}"
"""10681635""","""92""","""1758119400""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""252266"",""name"":""Mateusz Golebiowski"",""image_id"":0,""cc"":""in""}","{""id"":""314349"",""name"":""Patryk Lewandowski"",""image_id"":0,""cc"":""pl""}","""3-1""","{""1"":{""home"":""11"",""away"":""6""},""2"":{""home"":""11"",""away"":""9""},""3"":{""home"":""8"",""away"":""11""},""4"":{""home"":""11"",""away"":""8""}}"
"""10681632""","""92""","""1758119100""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""317470"",""name"":""Artur Daniel"",""image_id"":0,""cc"":null}","{""id"":""676448"",""name"":""Adrian Spychala"",""image_id"":0,""cc"":null}","""3-0""","{""1"":{""home"":""11"",""away"":""8""},""2"":{""home"":""11"",""away"":""6""},""3"":{""home"":""11"",""away"":""8""}}"
"""10688284""","""92""","""1758118800""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""747674"",""name"":""Adam Linek"",""image_id"":0,""cc"":null}","{""id"":""762910"",""name"":""Kamil Rudomina"",""image_id"":0,""cc"":null}","""3-2""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""12"",""away"":""10""},""3"":{""home"":""8"",""away"":""11""},""4"":{""home"":""11"",""away"":""8""},""5"":{""home"":""11"",""away"":""8""}}"
